                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.72977,                0.85433,                0.97874,                0.93802,                0.84922,                0.94425,                0.85241,                0.60021,                 1.4356,                 0.8671,             0.00055181,             0.00055181,             0.00055181
                     53,                0.77294,                0.99927,                 1.0058,                0.84492,                 0.8418,                0.94442,                0.85054,                0.55904,                 1.2407,                0.85852,             0.00055867,             0.00055867,             0.00055867
                     54,                0.76991,                 0.9409,                 1.0195,                0.84492,                 0.8418,                0.94442,                0.85054,                0.55904,                 1.2407,                0.85852,              0.0005654,              0.0005654,              0.0005654
                     55,                 0.6356,                0.84292,                0.92776,                0.84492,                 0.8418,                0.94442,                0.85054,                0.55904,                 1.2407,                0.85852,             0.00057198,             0.00057198,             0.00057198
                     56,                0.63504,                0.72479,                0.91841,                0.79116,                0.86529,                0.95106,                0.83739,                0.60885,                  1.209,                0.88245,             0.00057841,             0.00057841,             0.00057841
                     57,                0.64472,                0.72399,                0.93942,                0.79116,                0.86529,                0.95106,                0.83739,                0.60885,                  1.209,                0.88245,             0.00058471,             0.00058471,             0.00058471
                     58,                0.66956,                  0.757,                0.94009,                0.79116,                0.86529,                0.95106,                0.83739,                0.60885,                  1.209,                0.88245,             0.00059087,             0.00059087,             0.00059087
                     59,                 0.6636,                0.78162,                0.86382,                0.80735,                0.84048,                0.95325,                0.85154,                0.67679,                 1.2264,                 0.9289,             0.00059688,             0.00059688,             0.00059688
                     60,                0.70894,                 0.6913,                0.92869,                0.80735,                0.84048,                0.95325,                0.85154,                0.67679,                 1.2264,                 0.9289,             0.00060275,             0.00060275,             0.00060275
                     61,                0.65468,                0.76285,                0.94602,                0.80735,                0.84048,                0.95325,                0.85154,                0.67679,                 1.2264,                 0.9289,             0.00060848,             0.00060848,             0.00060848
                     62,                0.69758,                0.78029,                0.89497,                0.76978,                0.89799,                0.98281,                0.83876,                0.68312,                 1.3078,                0.95539,             0.00061407,             0.00061407,             0.00061407
                     63,                 0.7317,                0.77192,                0.96705,                0.76978,                0.89799,                0.98281,                0.83876,                0.68312,                 1.3078,                0.95539,             0.00061952,             0.00061952,             0.00061952
                     64,                  0.645,                0.81696,                0.96998,                0.76978,                0.89799,                0.98281,                0.83876,                0.68312,                 1.3078,                0.95539,             0.00062483,             0.00062483,             0.00062483
                     65,                0.67597,                 0.7729,                0.96112,                0.78229,                0.87384,                0.98628,                0.84508,                0.64657,                 1.4549,                0.92198,             0.00062999,             0.00062999,             0.00062999
                     66,                0.65008,                0.76291,                0.88928,                0.78229,                0.87384,                0.98628,                0.84508,                0.64657,                 1.4549,                0.92198,             0.00063502,             0.00063502,             0.00063502
                     67,                0.63468,                0.76654,                0.90559,                0.78229,                0.87384,                0.98628,                0.84508,                0.64657,                 1.4549,                0.92198,              0.0006399,              0.0006399,              0.0006399
                     68,                0.61136,                0.73849,                0.91064,                0.68794,                0.84824,                0.98833,                0.87672,                0.61552,                 1.5567,                0.87707,             0.00064464,             0.00064464,             0.00064464
                     69,                0.67505,                0.73672,                 0.9194,                0.68794,                0.84824,                0.98833,                0.87672,                0.61552,                 1.5567,                0.87707,             0.00064924,             0.00064924,             0.00064924
                     70,                0.66041,                0.79825,                0.94717,                0.68794,                0.84824,                0.98833,                0.87672,                0.61552,                 1.5567,                0.87707,              0.0006537,              0.0006537,              0.0006537
                     71,                0.66345,                0.70142,                0.93129,                0.69141,                0.89014,                  0.983,                0.83925,                0.64569,                 1.4488,                 0.8716,             0.00065801,             0.00065801,             0.00065801
                     72,                0.63873,                0.80255,                0.95262,                0.69141,                0.89014,                  0.983,                0.83925,                0.64569,                 1.4488,                 0.8716,             0.00066219,             0.00066219,             0.00066219
                     73,                0.65506,                0.88319,                0.97226,                0.69141,                0.89014,                  0.983,                0.83925,                0.64569,                 1.4488,                 0.8716,             0.00066622,             0.00066622,             0.00066622
                     74,                0.61735,                0.70967,                0.90258,                0.71444,                0.93084,                0.96301,                0.86111,                0.64835,                  1.354,                0.87755,             0.00067011,             0.00067011,             0.00067011
                     75,                0.69314,                0.78906,                0.95258,                0.71444,                0.93084,                0.96301,                0.86111,                0.64835,                  1.354,                0.87755,             0.00067386,             0.00067386,             0.00067386
                     76,                0.71439,                0.75512,                0.88733,                0.71444,                0.93084,                0.96301,                0.86111,                0.64835,                  1.354,                0.87755,             0.00067747,             0.00067747,             0.00067747
                     77,                0.64784,                   0.74,                0.93388,                0.74704,                0.88521,                0.96166,                0.85787,                0.61917,                 1.3152,                0.87173,             0.00068094,             0.00068094,             0.00068094
                     78,                0.57205,                 0.6358,                0.88689,                0.74704,                0.88521,                0.96166,                0.85787,                0.61917,                 1.3152,                0.87173,             0.00068427,             0.00068427,             0.00068427
                     79,                0.63155,                0.67331,                0.90341,                0.74704,                0.88521,                0.96166,                0.85787,                0.61917,                 1.3152,                0.87173,             0.00068745,             0.00068745,             0.00068745
                     80,                0.59648,                0.74302,                0.91795,                0.69156,                0.89861,                0.95609,                0.85504,                 0.6005,                  1.346,                0.87188,             0.00069049,             0.00069049,             0.00069049
                     81,                0.56921,                0.67083,                0.89096,                0.69156,                0.89861,                0.95609,                0.85504,                 0.6005,                  1.346,                0.87188,             0.00069339,             0.00069339,             0.00069339
                     82,                0.71436,                0.76202,                 1.0007,                0.69156,                0.89861,                0.95609,                0.85504,                 0.6005,                  1.346,                0.87188,             0.00069615,             0.00069615,             0.00069615
                     83,                0.62045,                0.77364,                0.90273,                0.65089,                0.91464,                 0.9142,                0.77314,                0.64737,                 1.4176,                0.90135,             0.00069877,             0.00069877,             0.00069877
                     84,                0.67964,                0.75833,                0.94659,                0.65089,                0.91464,                 0.9142,                0.77314,                0.64737,                 1.4176,                0.90135,             0.00070125,             0.00070125,             0.00070125
                     85,                0.60444,                0.69968,                0.91117,                0.65089,                0.91464,                 0.9142,                0.77314,                0.64737,                 1.4176,                0.90135,             0.00070359,             0.00070359,             0.00070359
                     86,                0.66648,                0.72748,                0.95232,                0.65089,                0.91464,                 0.9142,                0.77314,                0.64737,                 1.4176,                0.90135,             0.00070578,             0.00070578,             0.00070578
                     87,                 0.5796,                0.78704,                0.88696,                0.64674,                0.94953,                0.84848,                0.71934,                0.64912,                 1.3156,                0.91296,             0.00070783,             0.00070783,             0.00070783
                     88,                 0.6148,                 0.6863,                0.92197,                0.64674,                0.94953,                0.84848,                0.71934,                0.64912,                 1.3156,                0.91296,             0.00070974,             0.00070974,             0.00070974
                     89,                0.57098,                0.65046,                0.89561,                0.64674,                0.94953,                0.84848,                0.71934,                0.64912,                 1.3156,                0.91296,             0.00071151,             0.00071151,             0.00071151
                     90,                0.62376,                0.66557,                0.91321,                0.64674,                0.94953,                0.84848,                0.71934,                0.64912,                 1.3156,                0.91296,             0.00071314,             0.00071314,             0.00071314
                     91,                0.57588,                0.63695,                0.90607,                0.70503,                0.87623,                0.83677,                0.69837,                0.62732,                 1.1094,                0.90766,             0.00071463,             0.00071463,             0.00071463
                     92,                0.58984,                0.64705,                0.90467,                0.70503,                0.87623,                0.83677,                0.69837,                0.62732,                 1.1094,                0.90766,             0.00071597,             0.00071597,             0.00071597
                     93,                0.65518,                0.68206,                 0.9417,                0.70503,                0.87623,                0.83677,                0.69837,                0.62732,                 1.1094,                0.90766,             0.00071718,             0.00071718,             0.00071718
                     94,                0.65827,                0.71569,                0.92736,                0.70503,                0.87623,                0.83677,                0.69837,                0.62732,                 1.1094,                0.90766,             0.00071824,             0.00071824,             0.00071824
                     95,                0.61946,                0.68344,                0.92429,                0.72961,                0.89003,                0.84815,                0.70341,                0.62808,                0.93442,                 0.8958,             0.00071916,             0.00071916,             0.00071916
                     96,                0.62011,                0.89538,                0.91488,                0.72961,                0.89003,                0.84815,                0.70341,                0.62808,                0.93442,                 0.8958,             0.00071994,             0.00071994,             0.00071994
                     97,                0.68146,                0.69937,                0.95259,                0.72961,                0.89003,                0.84815,                0.70341,                0.62808,                0.93442,                 0.8958,             0.00072058,             0.00072058,             0.00072058
                     98,                0.63043,                0.65067,                0.90882,                0.72961,                0.89003,                0.84815,                0.70341,                0.62808,                0.93442,                 0.8958,             0.00072108,             0.00072108,             0.00072108
                     99,                0.66365,                0.69061,                0.98703,                0.85856,                0.82447,                0.89338,                0.74916,                0.65001,                0.82245,                0.88869,             0.00072143,             0.00072143,             0.00072143
                    100,                0.75046,                0.82822,                0.98166,                0.85856,                0.82447,                0.89338,                0.74916,                0.65001,                0.82245,                0.88869,             0.00072164,             0.00072164,             0.00072164
                    101,                0.69419,                0.64764,                0.92236,                0.85856,                0.82447,                0.89338,                0.74916,                0.65001,                0.82245,                0.88869,             0.00072164,             0.00072164,             0.00072164
                    102,                0.58529,                0.69693,                0.90787,                0.85856,                0.82447,                0.89338,                0.74916,                0.65001,                0.82245,                0.88869,             0.00071457,             0.00071457,             0.00071457
                    103,                0.67967,                0.74812,                0.94435,                0.87709,                0.92292,                0.93546,                0.80347,                0.61986,                0.79322,                0.87684,              0.0007075,              0.0007075,              0.0007075
                    104,                0.61314,                0.69833,                0.91464,                0.87709,                0.92292,                0.93546,                0.80347,                0.61986,                0.79322,                0.87684,             0.00070042,             0.00070042,             0.00070042
                    105,                0.69386,                0.71697,                0.91527,                0.87709,                0.92292,                0.93546,                0.80347,                0.61986,                0.79322,                0.87684,             0.00069335,             0.00069335,             0.00069335
                    106,                0.65535,                0.65361,                0.89864,                0.87709,                0.92292,                0.93546,                0.80347,                0.61986,                0.79322,                0.87684,             0.00068628,             0.00068628,             0.00068628
                    107,                0.62609,                0.62838,                0.90649,                      1,                0.98276,                  0.995,                 0.8655,                0.57148,                0.78756,                0.86371,              0.0006792,              0.0006792,              0.0006792
                    108,                0.64898,                0.70965,                0.93969,                      1,                0.98276,                  0.995,                 0.8655,                0.57148,                0.78756,                0.86371,             0.00067213,             0.00067213,             0.00067213
                    109,                  0.652,                0.66165,                 0.9117,                      1,                0.98276,                  0.995,                 0.8655,                0.57148,                0.78756,                0.86371,             0.00066506,             0.00066506,             0.00066506
                    110,                0.63707,                0.65803,                0.90759,                      1,                0.98276,                  0.995,                 0.8655,                0.57148,                0.78756,                0.86371,             0.00065798,             0.00065798,             0.00065798
