                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.88155,                0.54038,                 1.1126,                0.93198,                0.87497,                0.93152,                0.63712,                 1.2444,                 0.5854,                 1.4639,              0.0010316,              0.0010316,              0.0010316
                     79,                0.84908,                0.51288,                 1.0903,                0.90824,                0.88186,                0.91964,                0.64773,                 1.2969,                0.61607,                 1.6019,              0.0010234,              0.0010234,              0.0010234
                     80,                 0.8382,                0.50998,                 1.0835,                0.91594,                0.84306,                0.89945,                0.63274,                 1.2621,                0.65079,                 1.5308,              0.0010151,              0.0010151,              0.0010151
                     81,                0.85177,                0.51104,                 1.0987,                0.91586,                0.83056,                 0.9147,                0.62549,                 1.3071,                0.62163,                 1.5303,              0.0010069,              0.0010069,              0.0010069
                     82,                0.84411,                0.52193,                 1.0965,                0.96499,                 0.8254,                0.92817,                 0.6317,                  1.276,                0.62723,                 1.5647,             0.00099862,             0.00099862,             0.00099862
                     83,                0.83102,                0.50797,                 1.0852,                0.90543,                0.89363,                0.92821,                0.62979,                 1.3161,                0.59885,                 1.6381,             0.00099036,             0.00099036,             0.00099036
                     84,                0.82238,                0.49978,                 1.0842,                0.89264,                0.86159,                0.92494,                0.63762,                 1.2541,                0.63881,                 1.5446,             0.00098211,             0.00098211,             0.00098211
                     85,                0.84684,                0.51339,                 1.0807,                 0.8704,                0.91052,                0.93127,                0.63433,                 1.3212,                0.60221,                 1.5306,             0.00097386,             0.00097386,             0.00097386
                     86,                0.84599,                 0.5108,                 1.0908,                 0.9215,                  0.825,                0.92936,                 0.6259,                 1.2503,                0.69067,                 1.5039,             0.00096561,             0.00096561,             0.00096561
                     87,                0.82183,                0.49514,                 1.0866,                0.88682,                0.90185,                0.92792,                0.62833,                 1.2791,                 0.6667,                 1.5486,             0.00095736,             0.00095736,             0.00095736
                     88,                0.83361,                0.50287,                 1.0792,                0.88513,                0.87848,                0.92117,                0.63022,                 1.3177,                0.63592,                 1.6682,             0.00094911,             0.00094911,             0.00094911
                     89,                0.81191,                0.49615,                  1.075,                0.94336,                 0.7981,                0.90337,                0.61466,                 1.3859,                0.56997,                 1.7817,             0.00094085,             0.00094085,             0.00094085
                     90,                0.82245,                0.50515,                 1.0795,                0.93978,                0.84153,                0.92154,                0.64163,                 1.1961,                 0.7047,                 1.4311,              0.0009326,              0.0009326,              0.0009326
                     91,                0.80953,                0.49365,                 1.0858,                0.88789,                0.87965,                 0.9126,                0.62433,                 1.2434,                 0.7354,                 1.5148,             0.00092435,             0.00092435,             0.00092435
                     92,                0.81198,                0.49345,                 1.0723,                0.89959,                0.83712,                0.90085,                0.58639,                 1.3124,                0.67828,                  1.618,              0.0009161,              0.0009161,              0.0009161
                     93,                0.81153,                0.48676,                 1.0742,                0.84509,                0.85483,                0.89328,                0.60886,                 1.2145,                0.70948,                 1.4615,             0.00090785,             0.00090785,             0.00090785
                     94,                0.80308,                0.48767,                 1.0847,                0.87297,                0.88862,                 0.9188,                0.62236,                 1.1807,                0.62243,                 1.4586,              0.0008996,              0.0008996,              0.0008996
                     95,                 0.8114,                0.49086,                  1.075,                0.91838,                0.85319,                0.91708,                0.63397,                 1.2433,                0.59437,                 1.4928,             0.00089134,             0.00089134,             0.00089134
                     96,                0.81641,                0.47781,                 1.0811,                0.92324,                0.85145,                0.92725,                0.63971,                 1.1803,                0.66159,                 1.4335,             0.00088309,             0.00088309,             0.00088309
                     97,                0.79884,                0.46695,                 1.0608,                0.89801,                0.85389,                0.91822,                0.63408,                  1.194,                0.59687,                 1.4784,             0.00087484,             0.00087484,             0.00087484
                     98,                 0.7859,                0.46797,                 1.0585,                0.94189,                0.85448,                 0.9324,                0.64101,                 1.2541,                0.60812,                 1.5425,             0.00086659,             0.00086659,             0.00086659
                     99,                0.79207,                 0.4807,                 1.0702,                0.96748,                0.80658,                0.92337,                0.63573,                 1.2326,                0.61131,                 1.5424,             0.00085834,             0.00085834,             0.00085834
                    100,                0.78261,                0.45717,                 1.0693,                0.90195,                0.89175,                0.93552,                0.64337,                 1.1722,                0.65476,                 1.4612,             0.00085009,             0.00085009,             0.00085009
                    101,                0.82259,                0.48235,                  1.064,                0.93277,                0.83575,                0.92029,                0.64459,                 1.2326,                0.60156,                 1.5058,             0.00084184,             0.00084184,             0.00084184
                    102,                 0.7888,                0.46712,                 1.0624,                0.89868,                0.87172,                0.92145,                0.62565,                 1.2645,                0.61423,                 1.5295,             0.00083358,             0.00083358,             0.00083358
                    103,                0.77778,                0.45931,                 1.0643,                0.86311,                0.89701,                0.90811,                0.60671,                 1.3015,                0.65219,                 1.6034,             0.00082533,             0.00082533,             0.00082533
                    104,                0.80653,                0.47834,                 1.0578,                 0.9283,                0.84762,                0.91681,                0.64277,                  1.233,                0.62273,                 1.5399,             0.00081708,             0.00081708,             0.00081708
                    105,                0.77723,                0.45503,                 1.0588,                 0.9407,                0.86475,                0.93469,                0.63468,                 1.2692,                0.62484,                 1.5839,             0.00080883,             0.00080883,             0.00080883
                    106,                0.77625,                0.47217,                 1.0624,                0.96495,                0.79457,                0.90854,                0.63138,                 1.2654,                0.66266,                 1.5654,             0.00080058,             0.00080058,             0.00080058
                    107,                0.77262,                0.46234,                 1.0536,                0.89596,                0.89506,                0.91805,                0.61718,                 1.2442,                0.64915,                 1.5973,             0.00079233,             0.00079233,             0.00079233
                    108,                0.76848,                0.45084,                 1.0465,                0.94069,                0.85102,                0.91894,                 0.6282,                 1.2907,                  0.613,                 1.6001,             0.00078407,             0.00078407,             0.00078407
                    109,                0.76888,                0.46467,                 1.0478,                0.94032,                0.84644,                0.91783,                0.63052,                 1.2088,                0.61529,                 1.5133,             0.00077582,             0.00077582,             0.00077582
                    110,                0.76036,                0.44747,                 1.0613,                0.94466,                0.82955,                0.91395,                0.63561,                 1.2211,                0.63018,                  1.527,             0.00076757,             0.00076757,             0.00076757
                    111,                0.77743,                0.46432,                 1.0565,                0.89236,                0.86159,                0.92053,                0.64919,                 1.1611,                0.65696,                  1.497,             0.00075932,             0.00075932,             0.00075932
                    112,                  0.758,                0.45526,                 1.0619,                0.92791,                0.82986,                0.91909,                0.63558,                  1.238,                0.63144,                 1.5576,             0.00075107,             0.00075107,             0.00075107
                    113,                 0.7576,                0.43967,                 1.0523,                0.93709,                0.85611,                0.92611,                0.63078,                 1.3104,                0.61948,                 1.6819,             0.00074282,             0.00074282,             0.00074282
                    114,                0.76103,                0.46368,                 1.0472,                0.95901,                0.79062,                0.90383,                0.60682,                 1.3115,                0.62497,                 1.6851,             0.00073456,             0.00073456,             0.00073456
                    115,                0.75212,                 0.4508,                 1.0525,                0.91241,                 0.8321,                0.91359,                0.63304,                 1.2948,                0.60805,                  1.654,             0.00072631,             0.00072631,             0.00072631
                    116,                0.73011,                0.42753,                  1.032,                  0.902,                0.85483,                0.91744,                 0.6244,                 1.2348,                 0.6175,                 1.5134,             0.00071806,             0.00071806,             0.00071806
                    117,                  0.754,                0.45266,                 1.0415,                0.90801,                0.83794,                0.91423,                0.63238,                  1.264,                0.60178,                 1.6513,             0.00070981,             0.00070981,             0.00070981
                    118,                0.74291,                0.44691,                 1.0358,                0.89924,                0.83118,                0.92045,                0.63551,                 1.1851,                0.62683,                 1.4802,             0.00070156,             0.00070156,             0.00070156
                    119,                0.73928,                0.43305,                 1.0433,                0.97716,                0.80557,                 0.9134,                0.63011,                 1.2451,                0.58284,                 1.5924,             0.00069331,             0.00069331,             0.00069331
