                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 0.6512,                0.69673,                0.95657,                0.99929,                0.94813,                  0.995,                0.86778,                0.62897,                0.82568,                0.90063,             0.00060848,             0.00060848,             0.00060848
                     62,                0.69714,                 1.0073,                 1.0076,                0.98732,                0.88836,                  0.975,                0.84703,                0.64513,                0.80581,                0.89048,             0.00061407,             0.00061407,             0.00061407
                     63,                0.60072,                0.72116,                0.88719,                0.98732,                0.88836,                  0.975,                0.84703,                0.64513,                0.80581,                0.89048,             0.00061952,             0.00061952,             0.00061952
                     64,                0.63407,                0.78483,                0.94174,                0.98732,                0.88836,                  0.975,                0.84703,                0.64513,                0.80581,                0.89048,             0.00062483,             0.00062483,             0.00062483
                     65,                0.69942,                 0.7167,                0.95341,                0.98444,                0.88558,                  0.963,                0.83346,                0.64523,                0.82628,                0.88228,             0.00062999,             0.00062999,             0.00062999
                     66,                0.65582,                0.73061,                 1.0214,                0.98444,                0.88558,                  0.963,                0.83346,                0.64523,                0.82628,                0.88228,             0.00063502,             0.00063502,             0.00063502
                     67,                0.61872,                0.66617,                0.93479,                0.98444,                0.88558,                  0.963,                0.83346,                0.64523,                0.82628,                0.88228,              0.0006399,              0.0006399,              0.0006399
                     68,                0.71943,                0.76082,                0.98856,                0.94136,                0.85487,                0.96833,                0.78161,                 0.6328,                0.82825,                0.87948,             0.00064464,             0.00064464,             0.00064464
                     69,                0.61994,                0.67454,                0.91665,                0.94136,                0.85487,                0.96833,                0.78161,                 0.6328,                0.82825,                0.87948,             0.00064924,             0.00064924,             0.00064924
                     70,                0.64277,                0.73761,                0.91978,                0.94136,                0.85487,                0.96833,                0.78161,                 0.6328,                0.82825,                0.87948,              0.0006537,              0.0006537,              0.0006537
                     71,                0.68014,                0.79367,                0.93409,                0.92161,                0.96976,                  0.995,                0.79753,                0.62929,                0.82926,                0.88607,             0.00065801,             0.00065801,             0.00065801
                     72,                0.64124,                0.79096,                0.92233,                0.92161,                0.96976,                  0.995,                0.79753,                0.62929,                0.82926,                0.88607,             0.00066219,             0.00066219,             0.00066219
                     73,                0.70791,                0.73707,                0.98319,                0.92161,                0.96976,                  0.995,                0.79753,                0.62929,                0.82926,                0.88607,             0.00066622,             0.00066622,             0.00066622
                     74,                0.60071,                0.70713,                0.91548,                0.97201,                0.89963,                  0.975,                0.84111,                0.63629,                0.84566,                0.89531,             0.00067011,             0.00067011,             0.00067011
                     75,                 0.6579,                0.70143,                0.91179,                0.97201,                0.89963,                  0.975,                0.84111,                0.63629,                0.84566,                0.89531,             0.00067386,             0.00067386,             0.00067386
                     76,                0.62475,                0.69103,                0.93158,                0.97201,                0.89963,                  0.975,                0.84111,                0.63629,                0.84566,                0.89531,             0.00067747,             0.00067747,             0.00067747
                     77,                 0.6384,                0.69535,                0.95523,                      1,                0.91094,                  0.995,                 0.8835,                0.60221,                0.83534,                0.90551,             0.00068094,             0.00068094,             0.00068094
                     78,                 0.5844,                0.64793,                0.91745,                      1,                0.91094,                  0.995,                 0.8835,                0.60221,                0.83534,                0.90551,             0.00068427,             0.00068427,             0.00068427
                     79,                0.64384,                 0.7043,                0.96751,                      1,                0.91094,                  0.995,                 0.8835,                0.60221,                0.83534,                0.90551,             0.00068745,             0.00068745,             0.00068745
                     80,                0.62398,                0.76309,                0.95421,                0.89579,                 0.9801,                  0.995,                0.87783,                0.61446,                0.81403,                0.92005,             0.00069049,             0.00069049,             0.00069049
                     81,                0.69022,                0.77606,                 0.9825,                0.89579,                 0.9801,                  0.995,                0.87783,                0.61446,                0.81403,                0.92005,             0.00069339,             0.00069339,             0.00069339
                     82,                0.68443,                0.66612,                0.88084,                0.89579,                 0.9801,                  0.995,                0.87783,                0.61446,                0.81403,                0.92005,             0.00069615,             0.00069615,             0.00069615
                     83,                0.66681,                0.67465,                0.93826,                0.93701,                0.99679,                  0.995,                 0.8743,                0.61639,                0.79605,                0.92702,             0.00069877,             0.00069877,             0.00069877
